uniprot_acc,organism,mlo,rol,db,hgnc_id,gene_name,approved_name,gene_id
P13861,Homo sapiens," postsynaptic density, centrosome/spindle pole body",client,drllps,HGNC:9391,PRKAR2A,protein kinase cAMP-dependent type II regulatory subunit alpha,5576.0
P13866,Homo sapiens,nucleolus,client,drllps,HGNC:11036,SLC5A1,solute carrier family 5 member 1,6523.0
P13929,Homo sapiens," postsynaptic density, nucleolus",client,drllps,HGNC:3354,ENO3,enolase 3,2027.0
P13984,Homo sapiens,nucleolus,"component, client","drllps, phasepdb_ht",HGNC:4653,GTF2F2,general transcription factor IIF subunit 2,2963.0
P13987,Homo sapiens,postsynaptic density,client,drllps,HGNC:1689,CD59,CD59 molecule (CD59 blood group),966.0
P13995,Homo sapiens,nucleolus,client,drllps,HGNC:7434,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",10797.0
P14136,Homo sapiens,postsynaptic density,client,drllps,HGNC:4235,GFAP,glial fibrillary acidic protein,2670.0
P14207,Homo sapiens,p-body,regulator,drllps,HGNC:3793,FOLR2,folate receptor beta,2350.0
P14314,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:9411,PRKCSH,protein kinase C substrate 80K-H,5589.0
P14324,Homo sapiens,postsynaptic density,client,drllps,HGNC:3631,FDPS,farnesyl diphosphate synthase,2224.0
P14406,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:2288,COX7A2,cytochrome c oxidase subunit 7A2,1347.0
P14415,Homo sapiens,postsynaptic density,client,drllps,HGNC:805,ATP1B2,ATPase Na+/K+ transporting subunit beta 2,482.0
P14550,Homo sapiens," postsynaptic density, nucleolus",client,drllps,HGNC:380,AKR1A1,aldo-keto reductase family 1 member A1,10327.0
P14618,Homo sapiens," postsynaptic density, nucleolus, null_phasepdb_ht","regulator, client","drllps, phasepdb_ht",HGNC:9021,PKM,pyruvate kinase M1/2,5315.0
P14621,Homo sapiens,postsynaptic density,client,drllps,HGNC:180,ACYP2,acylphosphatase 2,98.0
P14635,Homo sapiens," centrosome/spindle pole body, nucleolus","component, client","drllps, phasepdb_ht",HGNC:1579,CCNB1,cyclin B1,891.0
P14649,Homo sapiens,postsynaptic density,client,drllps,HGNC:29823,MYL6B,myosin light chain 6B,140465.0
P14678,Homo sapiens,nucleolus,client,drllps,HGNC:11153,SNRPB,small nuclear ribonucleoprotein polypeptides B and B1,6628.0
P14854,Homo sapiens,postsynaptic density,client,drllps,HGNC:2280,COX6B1,cytochrome c oxidase subunit 6B1,1340.0
P14859,Homo sapiens,opt domain,client,drllps,HGNC:9212,POU2F1,POU class 2 homeobox 1,5451.0
P14866,Homo sapiens," sam68 nuclear body,  stress granule, nucleolus, p-body, rnp granules","component, client","drllps, phasepdb_ht",HGNC:5045,HNRNPL,heterogeneous nuclear ribonucleoprotein L,3191.0
P14867,Homo sapiens,postsynaptic density,client,drllps,HGNC:4075,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,2554.0
P14868,Homo sapiens," postsynaptic density, nucleolus",client,drllps,HGNC:2678,DARS1,aspartyl-tRNA synthetase 1,1615.0
P14923,Homo sapiens,postsynaptic density,client,drllps,HGNC:6207,JUP,junction plakoglobin,3728.0
P14927,Homo sapiens,postsynaptic density,client,drllps,HGNC:12582,UQCRB,ubiquinol-cytochrome c reductase binding protein,7381.0
P15018,Homo sapiens,stress granule,regulator,drllps,HGNC:6596,LIF,LIF interleukin 6 family cytokine,3976.0
P15056,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:1097,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",673.0
P15104,Homo sapiens,postsynaptic density,client,drllps,HGNC:4341,GLUL,glutamate-ammonia ligase,2752.0
P15121,Homo sapiens,nucleolus,client,drllps,HGNC:381,AKR1B1,aldo-keto reductase family 1 member B,231.0
P15170,Homo sapiens,stress granule,"component, client","drllps, phasepdb_ht",HGNC:4621,GSPT1,G1 to S phase transition 1,2935.0
P15259,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:8889,PGAM2,phosphoglycerate mutase 2,5224.0
P15309,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:125,ACP3,acid phosphatase 3,55.0
P15311,Homo sapiens,postsynaptic density,client,drllps,HGNC:12691,EZR,ezrin,7430.0
P15407,Homo sapiens,others,client,drllps,HGNC:13718,FOSL1,"FOS like 1, AP-1 transcription factor subunit",8061.0
P15408,Homo sapiens,"pml body, pml nuclear body","component, client","drllps, phasepdb_ht",HGNC:3798,FOSL2,"FOS like 2, AP-1 transcription factor subunit",2355.0
P15502,Homo sapiens," collagen-containing extracellular matrix, droplet, extracellular matrix, null_phasepdb_rev","driver, component","drllps, phasepdb_rev, phasepro",HGNC:3327,ELN,elastin,2006.0
P15531,Homo sapiens,"nucleolus, null_phasepdb_ht","regulator, client","drllps, phasepdb_ht",HGNC:7849,NME1,NME/NM23 nucleoside diphosphate kinase 1,4830.0
P15880,Homo sapiens," stress granule, nucleolus, p-body","regulator, component","drllps, phasepdb_ht",HGNC:10404,RPS2,ribosomal protein S2,6187.0
P15924,Homo sapiens," postsynaptic density, stress granule",client,drllps,HGNC:3052,DSP,desmoplakin,1832.0
P15927,Homo sapiens,"null_phasepdb_ht, pml body","regulator, component","phasepdb_ht, phasepdb_uniprot",HGNC:10290,RPA2,replication protein A2,6118.0
P15976,Homo sapiens,paraspeckle,"component, client","drllps, phasepdb_ht",HGNC:4170,GATA1,GATA binding protein 1,2623.0
P16104,Homo sapiens," centrosome/spindle pole body,  nucleolus,  pml nuclear body,  stress granule, dna damage foci",regulator,drllps,HGNC:4739,H2AX,H2A.X variant histone,3014.0
P16152,Homo sapiens,postsynaptic density,client,drllps,HGNC:1548,CBR1,carbonyl reductase 1,873.0
P16157,Homo sapiens,postsynaptic density,client,drllps,HGNC:492,ANK1,ankyrin 1,286.0
P16234,Homo sapiens,"nucleolus, null_phasepdb_ht","regulator, client","drllps, phasepdb_ht",HGNC:8803,PDGFRA,platelet derived growth factor receptor alpha,5156.0
P16284,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:8823,PECAM1,platelet and endothelial cell adhesion molecule 1,5175.0
P16298,Homo sapiens,"null_phasepdb_ht, postsynaptic density","regulator, client","drllps, phasepdb_ht",HGNC:9315,PPP3CB,protein phosphatase 3 catalytic subunit beta,5532.0
P16333,Homo sapiens," actin cortical patch,  arp2/3 protein complex, droplet, membrane cluster, membrane clusters, null_phasepdb_rev","driver, component","drllps, phasepdb_rev, phasepro",HGNC:7664,NCK1,NCK adaptor protein 1,4690.0
P16383,Homo sapiens,nucleolus,component,phasepdb_uniprot,HGNC:1317,GCFC2,GC-rich sequence DNA-binding factor 2,6936.0
P16401,Homo sapiens,nucleolus,"component, client","drllps, phasepdb_ht",HGNC:4719,H1-5,"H1.5 linker histone, cluster member",3009.0
P16402,Homo sapiens,nucleolus,component,phasepdb_ht,HGNC:4717,H1-3,"H1.3 linker histone, cluster member",3007.0
P16403,Homo sapiens,nucleolus,"component, client","drllps, phasepdb_ht",HGNC:4716,H1-2,"H1.2 linker histone, cluster member",3006.0
P16452,Homo sapiens,postsynaptic density,client,drllps,HGNC:3381,EPB42,erythrocyte membrane protein band 4.2,2038.0
P16499,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:8785,PDE6A,phosphodiesterase 6A,5145.0
P16591,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:3655,FER,FER tyrosine kinase,2241.0
P16615,Homo sapiens,postsynaptic density,client,drllps,HGNC:812,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,488.0
P16989,Homo sapiens," stress granule, p-body, stress granule","component, client","drllps, phasepdb_ht",HGNC:2428,YBX3,Y-box binding protein 3,8531.0
P17028,Homo sapiens,paraspeckle,"component, client","drllps, phasepdb_ht",HGNC:13032,ZNF24,zinc finger protein 24,7572.0
P17029,Homo sapiens,others,client,drllps,HGNC:13101,ZKSCAN1,zinc finger with KRAB and SCAN domains 1,7586.0
P17066,Homo sapiens," nucleolus,  postsynaptic density, nuclear speckle",client,drllps,HGNC:5239,HSPA6,heat shock protein family A (Hsp70) member 6,3310.0
P17096,Homo sapiens," stress granule, nucleolus","component, client","drllps, phasepdb_ht",HGNC:5010,HMGA1,high mobility group AT-hook 1,3159.0
P17252,Homo sapiens," postsynaptic density, null_phasepdb_ht, stress granule","regulator, client","drllps, phasepdb_ht",HGNC:9393,PRKCA,protein kinase C alpha,5578.0
P17480,Homo sapiens," nucleolus, cajal body, nucleolus","component, client","drllps, phasepdb_ht, phasepdb_rev",HGNC:12511,UBTF,upstream binding transcription factor,7343.0
P17516,Homo sapiens,nucleolus,client,drllps,HGNC:387,AKR1C4,aldo-keto reductase family 1 member C4,1109.0
P17540,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:1996,CKMT2,"creatine kinase, mitochondrial 2",1160.0
P17568,Homo sapiens,postsynaptic density,client,drllps,HGNC:7702,NDUFB7,NADH:ubiquinone oxidoreductase subunit B7,4713.0
P17600,Homo sapiens," a matrix holding together clusters of synaptic vesicles (svs),  postsynaptic density, droplet, pre and postsynaptic densities, presynaptic cytosol","driver, component","drllps, phasepdb_rev, phasepro",HGNC:11494,SYN1,synapsin I,6853.0
P17612,Homo sapiens,others,regulator,drllps,HGNC:9380,PRKACA,protein kinase cAMP-activated catalytic subunit alpha,5566.0
P17661,Homo sapiens," postsynaptic density, nucleolus",client,drllps,HGNC:2770,DES,desmin,1674.0
P17676,Homo sapiens,nucleus speckles,component,phasepdb_rev,HGNC:1834,CEBPB,CCAAT enhancer binding protein beta,1051.0
P17677,Homo sapiens,postsynaptic density,client,drllps,HGNC:4140,GAP43,growth associated protein 43,2596.0
P17706,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:9650,PTPN2,protein tyrosine phosphatase non-receptor type 2,5771.0
P17812,Homo sapiens,nucleolus,client,drllps,HGNC:2519,CTPS1,CTP synthase 1,1503.0
P17844,Homo sapiens," stress granule, nucleolus","component, client","drllps, phasepdb_ht, phasepdb_uniprot",HGNC:2746,DDX5,DEAD-box helicase 5,1655.0
P17858,Homo sapiens,postsynaptic density,client,drllps,HGNC:8876,PFKL,"phosphofructokinase, liver type",5211.0
P17931,Homo sapiens," galectin lattice, droplet, galectin complex, null_phasepdb_rev","driver, component","drllps, phasepdb_rev, phasepro",HGNC:6563,LGALS3,galectin 3,3958.0
P17948,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:3763,FLT1,fms related receptor tyrosine kinase 1,2321.0
P17980,Homo sapiens,"nucleolus, null_phasepdb_ht","regulator, client","drllps, phasepdb_ht",HGNC:9549,PSMC3,"proteasome 26S subunit, ATPase 3",5702.0
P17987,Homo sapiens," postsynaptic density,  stress granule, centrosome/spindle pole body",client,drllps,HGNC:11655,TCP1,t-complex 1,6950.0
P18031,Homo sapiens," receptor cluster, droplet",regulator,drllps,HGNC:9642,PTPN1,protein tyrosine phosphatase non-receptor type 1,5770.0
P18074,Homo sapiens,nucleolus,"component, client","drllps, phasepdb_ht",HGNC:3434,ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit",2068.0
P18077,Homo sapiens,nucleolus,"component, client","drllps, phasepdb_ht",HGNC:10345,RPL35A,ribosomal protein L35a,6165.0
P18124,Homo sapiens,"nucleolus, p-body","component, client","drllps, phasepdb_ht",HGNC:10363,RPL7,ribosomal protein L7,6129.0
P18206,Homo sapiens," postsynaptic density, centrosome/spindle pole body",client,drllps,HGNC:12665,VCL,vinculin,7414.0
P18433,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:9664,PTPRA,protein tyrosine phosphatase receptor type A,5786.0
P18583,Homo sapiens,"nuclear speckle, nucleus speckles","regulator, component","drllps, phasepdb_rev",HGNC:11183,SON,SON DNA and RNA binding protein,6651.0
P18615,Homo sapiens,stress granule,"component, client","drllps, phasepdb_ht",HGNC:13974,NELFE,negative elongation factor complex member E,7936.0
P18621,Homo sapiens,nucleolus,"component, client","drllps, phasepdb_ht",HGNC:10307,RPL17,ribosomal protein L17,6139.0
P18754,Homo sapiens," stress granule, nucleolus","component, client","drllps, phasepdb_ht",HGNC:1913,RCC1,regulator of chromosome condensation 1,1104.0
P18848,Homo sapiens,others,client,drllps,HGNC:786,ATF4,activating transcription factor 4,468.0
P18858,Homo sapiens,nucleolus,client,drllps,HGNC:6598,LIG1,DNA ligase 1,3978.0
P18887,Homo sapiens," centrosome/spindle pole body,  pml nuclear body, nucleolus","component, client","drllps, phasepdb_ht",HGNC:12828,XRCC1,X-ray repair cross complementing 1,7515.0
P19022,Homo sapiens,postsynaptic density,client,drllps,HGNC:1759,CDH2,cadherin 2,1000.0
P19086,Homo sapiens,postsynaptic density,client,drllps,HGNC:4395,GNAZ,G protein subunit alpha z,2781.0
P19174,Homo sapiens," postsynaptic density, centrosome/spindle pole body",client,drllps,HGNC:9065,PLCG1,phospholipase C gamma 1,5335.0
P19338,Homo sapiens," stress granule, nucleolus, null_phasepdb_ht, p-body, rnp granules","regulator, component, client","drllps, phasepdb_ht",HGNC:7667,NCL,nucleolin,4691.0
P19367,Homo sapiens,postsynaptic density,client,drllps,HGNC:4922,HK1,hexokinase 1,3098.0
P19388,Homo sapiens,nucleolus,"component, client","drllps, phasepdb_ht",HGNC:9192,POLR2E,"RNA polymerase II, I and III subunit E",5434.0
P19404,Homo sapiens," postsynaptic density, nucleolus",client,drllps,HGNC:7717,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2,4729.0
P19474,Homo sapiens,"p-body, stress granule","component, client","drllps, phasepdb_uniprot",HGNC:11312,TRIM21,tripartite motif containing 21,6737.0
P19525,Homo sapiens," postsynaptic density,  stress granule, nucleolus","regulator, component","drllps, phasepdb_ht",HGNC:9437,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2,5610.0
P19544,Homo sapiens,nucleus speckles,component,phasepdb_uniprot,HGNC:12796,WT1,WT1 transcription factor,7490.0
P19784,Homo sapiens," centrosome/spindle pole body,  postsynaptic density, nucleolus, null_phasepdb_ht","regulator, component, client","drllps, phasepdb_ht",HGNC:2459,CSNK2A2,casein kinase 2 alpha 2,1459.0
P19957,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:8947,PI3,peptidase inhibitor 3,5266.0
P20020,Homo sapiens," postsynaptic density, nucleolus",client,drllps,HGNC:814,ATP2B1,ATPase plasma membrane Ca2+ transporting 1,490.0
P20042,Homo sapiens," stress granule, nucleolus","component, client","drllps, phasepdb_ht",HGNC:3266,EIF2S2,eukaryotic translation initiation factor 2 subunit beta,8894.0
P20073,Homo sapiens," postsynaptic density, stress granule","component, client","drllps, phasepdb_ht",HGNC:545,ANXA7,annexin A7,310.0
P20226,Homo sapiens," p-body,  stress granule, opt domain",regulator,drllps,HGNC:11588,TBP,TATA-box binding protein,6908.0
P20248,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:1578,CCNA2,cyclin A2,890.0
P20290,Homo sapiens,nucleolus,client,drllps,HGNC:1125,BTF3,basic transcription factor 3,689.0
P20336,Homo sapiens,postsynaptic density,client,drllps,HGNC:9777,RAB3A,"RAB3A, member RAS oncogene family",5864.0
P20339,Homo sapiens,postsynaptic density,client,drllps,HGNC:9783,RAB5A,"RAB5A, member RAS oncogene family",5868.0
P20340,Homo sapiens," postsynaptic density, nucleolus",client,drllps,HGNC:9786,RAB6A,"RAB6A, member RAS oncogene family",5870.0
P20592,Homo sapiens,nuclear pore complex,component,phasepdb_uniprot,HGNC:7533,MX2,MX dynamin like GTPase 2,4600.0
P20648,Homo sapiens,postsynaptic density,client,drllps,HGNC:819,ATP4A,ATPase H+/K+ transporting subunit alpha,495.0
P20671,Homo sapiens,nucleolus,client,drllps,HGNC:4729,H2AC7,H2A clustered histone 7,3013.0
P20674,Homo sapiens,postsynaptic density,client,drllps,HGNC:2267,COX5A,cytochrome c oxidase subunit 5A,9377.0
P20700,Homo sapiens," others,  p-body, nucleolus, p-body","component, client","drllps, phasepdb_ht",HGNC:6637,LMNB1,lamin B1,4001.0
P20774,Homo sapiens,stress granule,client,drllps,HGNC:8126,OGN,osteoglycin,4969.0
P20916,Homo sapiens,postsynaptic density,client,drllps,HGNC:6783,MAG,myelin associated glycoprotein,4099.0
P20941,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:8759,PDC,phosducin,5132.0
P20962,Homo sapiens,nucleolus,component,phasepdb_ht,HGNC:9629,PTMS,parathymosin,5763.0
P21108,Homo sapiens,nucleolus,client,drllps,HGNC:9463,PRPS1L1,phosphoribosyl pyrophosphate synthetase 1 like 1,221823.0
P21127,Homo sapiens,"centrosome/spindle pole body, null_phasepdb_ht","regulator, client","drllps, phasepdb_ht",HGNC:1729,CDK11B,cyclin dependent kinase 11B,984.0
P21266,Homo sapiens,postsynaptic density,client,drllps,HGNC:4635,GSTM3,glutathione S-transferase mu 3,2947.0
P21281,Homo sapiens,postsynaptic density,client,drllps,HGNC:854,ATP6V1B2,ATPase H+ transporting V1 subunit B2,526.0
P21283,Homo sapiens,postsynaptic density,client,drllps,HGNC:856,ATP6V1C1,ATPase H+ transporting V1 subunit C1,528.0
P21291,Homo sapiens,postsynaptic density,client,drllps,HGNC:2469,CSRP1,cysteine and glycine rich protein 1,1465.0
P21333,Homo sapiens," postsynaptic density, droplet",regulator,drllps,HGNC:3754,FLNA,filamin A,2316.0
P21359,Homo sapiens,nucleolus,component,phasepdb_uniprot,HGNC:7765,NF1,neurofibromin 1,4763.0
P21397,Homo sapiens,postsynaptic density,client,drllps,HGNC:6833,MAOA,monoamine oxidase A,4128.0
P21579,Homo sapiens,postsynaptic density,client,drllps,HGNC:11509,SYT1,synaptotagmin 1,6857.0
P21589,Homo sapiens,"null_phasepdb_ht, postsynaptic density","regulator, client","drllps, phasepdb_ht",HGNC:8021,NT5E,5'-nucleotidase ecto,4907.0
P21675,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:11535,TAF1,TATA-box binding protein associated factor 1,6872.0
P21796,Homo sapiens," postsynaptic density, nucleolus","component, client","drllps, phasepdb_ht",HGNC:12669,VDAC1,voltage dependent anion channel 1,7416.0
P21802,Homo sapiens,nucleolus,client,drllps,HGNC:3689,FGFR2,fibroblast growth factor receptor 2,2263.0
P21860,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:3431,ERBB3,erb-b2 receptor tyrosine kinase 3,2065.0
P21912,Homo sapiens,nucleolus,client,drllps,HGNC:10681,SDHB,succinate dehydrogenase complex iron sulfur subunit B,6390.0
P21926,Homo sapiens,postsynaptic density,client,drllps,HGNC:1709,CD9,CD9 molecule,928.0
P21964,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:2228,COMT,catechol-O-methyltransferase,1312.0
P22061,Homo sapiens," postsynaptic density, stress granule","component, client","drllps, phasepdb_ht",HGNC:8728,PCMT1,protein-L-isoaspartate (D-aspartate) O-methyltransferase,5110.0
P22087,Homo sapiens," nucleolus,  p-body,  stress granule, cajal body, nucleolus, null_phasepdb_ht, p-body","regulator, component, client","drllps, phasepdb_ht, phasepdb_rev",HGNC:3599,FBL,fibrillarin,2091.0
P22105,Homo sapiens,stress granule,"component, client","drllps, phasepdb_ht",HGNC:11976,TNXB,tenascin XB,7148.0
P22234,Homo sapiens,postsynaptic density,client,drllps,HGNC:8587,PAICS,phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase,10606.0
P22314,Homo sapiens," postsynaptic density,  stress granule, nucleolus",client,drllps,HGNC:12469,UBA1,ubiquitin like modifier activating enzyme 1,7317.0
P22392,Homo sapiens,nucleolus,client,drllps,HGNC:7850,NME2,NME/NM23 nucleoside diphosphate kinase 2,4831.0
P22413,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:3356,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,5167.0
P22455,Homo sapiens,nucleolus,client,drllps,HGNC:3691,FGFR4,fibroblast growth factor receptor 4,2264.0
P22466,Homo sapiens,others,client,drllps,HGNC:4114,GAL,galanin and GMAP prepropeptide,51083.0
P22607,Homo sapiens,nucleolus,client,drllps,HGNC:3690,FGFR3,fibroblast growth factor receptor 3,2261.0
P22612,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:9382,PRKACG,protein kinase cAMP-activated catalytic subunit gamma,5568.0
P22626,Homo sapiens," cytoplasmic ribonucleoprotein granule,  nuclear speckle,  nucleolus,  p-body,  stress granule, cytoplasmic stress granule, droplet, nucleolus, null_phasepdb_rev, p-body, rnp granules, stress granule","driver, component","drllps, phasepdb_ht, phasepdb_rev, phasepro",HGNC:5033,HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,3181.0
P22692,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:5473,IGFBP4,insulin like growth factor binding protein 4,3487.0
P22694,Homo sapiens,"null_phasepdb_ht, postsynaptic density","regulator, client","drllps, phasepdb_ht",HGNC:9381,PRKACB,protein kinase cAMP-activated catalytic subunit beta,5567.0
P22695,Homo sapiens,postsynaptic density,client,drllps,HGNC:12586,UQCRC2,ubiquinol-cytochrome c reductase core protein 2,7385.0
P22748,Homo sapiens,postsynaptic density,client,drllps,HGNC:1375,CA4,carbonic anhydrase 4,762.0
P23193,Homo sapiens," stress granule, nucleolus","component, client","drllps, phasepdb_ht",HGNC:11612,TCEA1,transcription elongation factor A1,6917.0
P23246,Homo sapiens," nucleolus,  paraspeckle,  stress granule, nuclear speckle, nucleolus, null_phasepdb_rev, paraspeckle","driver, component, client","drllps, phasepdb_ht, phasepdb_rev, phasepro",HGNC:10774,SFPQ,splicing factor proline and glutamine rich,6421.0
P23258,Homo sapiens," centrosome/spindle pole body,  postsynaptic density, nucleolus",client,drllps,HGNC:12417,TUBG1,tubulin gamma 1,7283.0
P23284,Homo sapiens," postsynaptic density, nucleolus","component, client","drllps, phasepdb_ht",HGNC:9255,PPIB,peptidylprolyl isomerase B,5479.0
P23297,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:10486,S100A1,S100 calcium binding protein A1,6271.0
P23368,Homo sapiens,mitochondrial rna granule,client,drllps,HGNC:6984,ME2,malic enzyme 2,4200.0
P23396,Homo sapiens," p-body,  postsynaptic density,  stress granule, nucleolus, p-body, rnp granules","component, client","drllps, phasepdb_ht, phasepdb_uniprot",HGNC:10420,RPS3,ribosomal protein S3,6188.0
P23443,Homo sapiens,stress granule,regulator,drllps,HGNC:10436,RPS6KB1,ribosomal protein S6 kinase B1,6198.0
P23458,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:6190,JAK1,Janus kinase 1,3716.0
P23468,Homo sapiens,"null_phasepdb_ht, postsynaptic density","regulator, client","drllps, phasepdb_ht",HGNC:9668,PTPRD,protein tyrosine phosphatase receptor type D,5789.0
P23469,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:9669,PTPRE,protein tyrosine phosphatase receptor type E,5791.0
P23471,Homo sapiens,postsynaptic density,client,drllps,HGNC:9685,PTPRZ1,protein tyrosine phosphatase receptor type Z1,5803.0
P23497,Homo sapiens,"null_phasepdb_ht, pml body, pml nuclear body","regulator, component","drllps, phasepdb_ht, phasepdb_rev",HGNC:11206,SP100,SP100 nuclear antigen,6672.0
P23511,Homo sapiens,"pml body, pml nuclear body","component, client","drllps, phasepdb_ht",HGNC:7804,NFYA,nuclear transcription factor Y subunit alpha,4800.0
P23515,Homo sapiens,postsynaptic density,client,drllps,HGNC:8135,OMG,oligodendrocyte myelin glycoprotein,4974.0
P23526,Homo sapiens,postsynaptic density,client,drllps,HGNC:343,AHCY,adenosylhomocysteinase,191.0
P23527,Homo sapiens,nucleolus,component,phasepdb_ht,HGNC:4758,H2BC17,H2B clustered histone 17,8348.0
P23528,Homo sapiens," postsynaptic density, stress granule",client,drllps,HGNC:1874,CFL1,cofilin 1,1072.0
P23588,Homo sapiens,stress granule,"regulator, component","drllps, phasepdb_ht",HGNC:3285,EIF4B,eukaryotic translation initiation factor 4B,1975.0
P23634,Homo sapiens," postsynaptic density, nucleolus",client,drllps,HGNC:817,ATP2B4,ATPase plasma membrane Ca2+ transporting 4,493.0
P23677,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:6178,ITPKA,inositol-trisphosphate 3-kinase A,3706.0
P23743,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:2849,DGKA,diacylglycerol kinase alpha,1606.0
P23771,Homo sapiens," nuclear body,  robustly e2-activated enhancers (megatrans) enhancers, enhanceosome",driver,phasepro,HGNC:4172,GATA3,GATA binding protein 3,2625.0
P23919,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:3061,DTYMK,deoxythymidylate kinase,1841.0
P23921,Homo sapiens,nucleolus,client,drllps,HGNC:10451,RRM1,ribonucleotide reductase catalytic subunit M1,6240.0
P24534,Homo sapiens,nucleolus,client,drllps,HGNC:3208,EEF1B2,eukaryotic translation elongation factor 1 beta 2,1933.0
P24539,Homo sapiens,postsynaptic density,client,drllps,HGNC:840,ATP5PB,ATP synthase peripheral stalk-membrane subunit b,515.0
P24666,Homo sapiens,postsynaptic density,client,drllps,HGNC:122,ACP1,acid phosphatase 1,52.0
P24821,Homo sapiens,postsynaptic density,client,drllps,HGNC:5318,TNC,tenascin C,3371.0
P24928,Homo sapiens," nucleolus,  others,  polii clusters, droplet, null_phasepdb_rev, rna polymerase ii, holoenzyme, transcription factories","driver, component","drllps, phasepdb_rev, phasepro",HGNC:9187,POLR2A,RNA polymerase II subunit A,5430.0
P24941,Homo sapiens," centrosome/spindle pole body,  stress granule, nucleolus","component, client","drllps, phasepdb_ht",HGNC:1771,CDK2,cyclin dependent kinase 2,1017.0
P25054,Homo sapiens," postsynaptic density, centrosome/spindle pole body",client,drllps,HGNC:583,APC,APC regulator of WNT signaling pathway,324.0
P25098,Homo sapiens,"null_phasepdb_ht, postsynaptic density","regulator, client","drllps, phasepdb_ht",HGNC:289,GRK2,G protein-coupled receptor kinase 2,156.0
P25205,Homo sapiens,nucleolus,"component, client","drllps, phasepdb_ht",HGNC:6945,MCM3,minichromosome maintenance complex component 3,4172.0
P25311,Homo sapiens,p-body,"component, client","drllps, phasepdb_ht",HGNC:910,AZGP1,"alpha-2-glycoprotein 1, zinc-binding",563.0
P25398,Homo sapiens,"nucleolus, p-body","component, client","drllps, phasepdb_ht",HGNC:10385,RPS12,ribosomal protein S12,6206.0
P25490,Homo sapiens,"nucleolus, nucleus speckles",component,phasepdb_rev,HGNC:12856,YY1,YY1 transcription factor,7528.0
P25685,Homo sapiens," nucleolus,  postsynaptic density, nuclear speckle, nucleolus","component, client","drllps, phasepdb_uniprot",HGNC:5270,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,3337.0
P25686,Homo sapiens,postsynaptic density,client,drllps,HGNC:5228,DNAJB2,DnaJ heat shock protein family (Hsp40) member B2,3300.0
P25705,Homo sapiens," postsynaptic density,  stress granule, nucleolus",client,drllps,HGNC:823,ATP5F1A,ATP synthase F1 subunit alpha,498.0
P25788,Homo sapiens,"nuclear speckle, nuclear speckles","component, client","drllps, phasepdb_ht",HGNC:9532,PSMA3,proteasome 20S subunit alpha 3,5684.0
P25789,Homo sapiens,"nucleolus, null_phasepdb_ht","regulator, client","drllps, phasepdb_ht",HGNC:9533,PSMA4,proteasome 20S subunit alpha 4,5685.0
