uniprot,pfam_acc,start,end,domain
P36957,PF00198,220,451,2-oxoacid_dh
O00330,PF00198,272,501,2-oxoacid_dh
O75077,PF00200,511,583,Disintegrin
Q9P0K1,PF00200,453,526,Disintegrin
P80404,PF00202,65,496,Aminotran_3
P04181,PF00202,50,436,Aminotran_3
P62841,PF00203,43,128,Ribosomal_S19
Q02880,PF00204,287,451,DNA_gyraseB
P11388,PF00204,266,430,DNA_gyraseB
P07954,PF00206,58,389,Lyase_1
P01023,PF00207,738,828,A2M
Q6IE36,PF00207,726,816,A2M
A0A0G2JMS6,PF00207,726,816,A2M
P01024,PF00207,770,866,A2M
P49448,PF00208,263,463,ELFV_dehydrog
P31645,PF00209,79,600,SNF
Q9H1V8,PF00209,60,643,SNF
Q9H2J7,PF00209,61,644,SNF
Q9NSD5,PF00209,32,556,SNF
P02794,PF00210,18,159,Ferritin
P02792,PF00210,14,155,Ferritin
P16066,PF00211,867,1053,Guanylate_cyc
P48047,PF00213,37,209,OSCP
P12532,PF00217,186,400,ATP-gua_Ptrans
P06732,PF00217,153,367,ATP-gua_Ptrans
P12277,PF00217,153,367,ATP-gua_Ptrans
O00622,PF00219,26,78,IGFBP
P22692,PF00219,27,80,IGFBP
P30613,PF00224,85,438,PK
P14618,PF00224,42,395,PK
O15066,PF00225,15,340,Kinesin
Q8NI77,PF00225,17,355,Kinesin
Q15058,PF00225,364,701,Kinesin
Q99661,PF00225,264,588,Kinesin
Q9NQT8,PF00225,11,353,Kinesin
O60333,PF00225,11,354,Kinesin
P33176,PF00225,14,325,Kinesin
Q02224,PF00225,12,329,Kinesin
Q9Y496,PF00225,20,345,Kinesin
Q8N4N8,PF00225,219,543,Kinesin
O95239,PF00225,15,336,Kinesin
Q7Z4S6,PF00225,15,371,Kinesin
Q96Q89,PF00225,64,479,Kinesin
Q02241,PF00225,31,436,Kinesin
O00139,PF00225,229,553,Kinesin
O60282,PF00225,14,327,Kinesin
Q9NS87,PF00225,32,363,Kinesin
Q12840,PF00225,22,327,Kinesin
P52732,PF00225,24,359,Kinesin
Q9BW19,PF00225,349,663,Kinesin
Q9NVM6,PF00226,11,73,DnaJ
O75190,PF00226,3,66,DnaJ
O75061,PF00226,852,913,DnaJ
P31689,PF00226,6,65,DnaJ
Q5F1R6,PF00226,3,66,DnaJ
P25685,PF00226,4,65,DnaJ
P59910,PF00226,4,65,DnaJ
O75953,PF00226,4,65,DnaJ
Q8TBM8,PF00226,108,169,DnaJ
Q99615,PF00226,381,448,DnaJ
Q8IXB1,PF00226,35,97,DnaJ
Q8WW22,PF00226,6,65,DnaJ
Q9NVH1,PF00226,14,79,DnaJ
P25686,PF00226,3,66,DnaJ
O60884,PF00226,8,67,DnaJ
Q96DA6,PF00226,65,116,DnaJ
O75165,PF00226,1301,1360,DnaJ
Q8WXX5,PF00226,15,79,DnaJ
O75937,PF00226,57,121,DnaJ
Q96EY1,PF00226,93,155,DnaJ
Q9UDY4,PF00226,4,65,DnaJ
P28074,PF00227,56,238,Proteasome
Q99436,PF00227,40,221,Proteasome
F5GX11,PF00227,4,190,Proteasome
O14818,PF00227,26,211,Proteasome
P49720,PF00227,5,190,Proteasome
P25788,PF00227,31,217,Proteasome
P28072,PF00227,31,213,Proteasome
P20618,PF00227,34,226,Proteasome
P25789,PF00227,28,216,Proteasome
P40306,PF00227,36,217,Proteasome
P25786,PF00227,29,215,Proteasome
Q8TAA3,PF00227,28,219,Proteasome
P28066,PF00227,31,220,Proteasome
P49721,PF00227,3,183,Proteasome
B4DEV8,PF00227,29,122,Proteasome
P60900,PF00227,32,220,Proteasome
P28070,PF00227,50,237,Proteasome
P55087,PF00230,29,248,MIP
Q8NBQ7,PF00230,69,254,MIP
P36542,PF00231,27,297,ATP-synt
P16499,PF00233,558,802,PDEase_I
P54750,PF00233,218,445,PDEase_I
Q13370,PF00233,736,1007,PDEase_I
O00408,PF00233,655,888,PDEase_I
Q14432,PF00233,751,1020,PDEase_I
P27815,PF00233,432,672,PDEase_I
Q13946,PF00233,211,443,PDEase_I
Q08493,PF00233,387,627,PDEase_I
O60658,PF00233,555,806,PDEase_I
Q8NHR9,PF00235,2,129,Profilin
P35080,PF00235,2,140,Profilin
P07737,PF00235,2,140,Profilin
P60673,PF00235,2,137,Profilin
P18621,PF00237,17,151,Ribosomal_L22
P62829,PF00238,20,140,Ribosomal_L14
P62832,PF00238,20,140,Ribosomal_L14
P35544,PF00240,3,72,ubiquitin
Q15646,PF00240,436,507,ubiquitin
F5GXK7,PF00240,3,74,ubiquitin
F5GXK7,PF00240,79,150,ubiquitin
Q15843,PF00240,3,74,ubiquitin
Q9NZJ4,PF00240,22,79,ubiquitin
O15205,PF00240,10,81,ubiquitin
O15205,PF00240,91,161,ubiquitin
Q8WVY7,PF00240,5,79,ubiquitin
O60260,PF00240,3,73,ubiquitin
P54727,PF00240,3,77,ubiquitin
B4DV12,PF00240,3,74,ubiquitin
B4DV12,PF00240,79,150,ubiquitin
F5H6Q2,PF00240,3,74,ubiquitin
F5H6Q2,PF00240,79,122,ubiquitin
P62979,PF00240,3,74,ubiquitin
Q9BSE4,PF00240,12,89,ubiquitin
O14562,PF00240,86,157,ubiquitin
Q96T88,PF00240,3,76,ubiquitin
P11441,PF00240,3,74,ubiquitin
Q9UHD9,PF00240,33,105,ubiquitin
Q15370,PF00240,4,67,ubiquitin
P0CG48,PF00240,3,74,ubiquitin
P0CG48,PF00240,79,150,ubiquitin
P0CG48,PF00240,155,226,ubiquitin
P0CG48,PF00240,231,302,ubiquitin
P0CG48,PF00240,307,378,ubiquitin
P0CG48,PF00240,383,454,ubiquitin
P0CG48,PF00240,459,530,ubiquitin
P0CG48,PF00240,535,606,ubiquitin
P0CG48,PF00240,611,682,ubiquitin
Q9NRR5,PF00240,15,85,ubiquitin
F5GZ39,PF00240,3,61,ubiquitin
Q9UMX0,PF00240,39,109,ubiquitin
P62987,PF00240,3,74,ubiquitin
F5H747,PF00240,3,74,ubiquitin
F5H747,PF00240,79,150,ubiquitin
Q9BZL1,PF00240,4,73,ubiquitin
Q96PU4,PF00240,3,76,ubiquitin
Q15459,PF00240,709,788,ubiquitin
F5GYU3,PF00240,3,74,ubiquitin
F5GYU3,PF00240,79,134,ubiquitin
F5H265,PF00240,3,74,ubiquitin
F5H265,PF00240,79,149,ubiquitin
Q96C32,PF00240,3,74,ubiquitin
Q96C32,PF00240,79,150,ubiquitin
Q96C32,PF00240,155,226,ubiquitin
Q96C32,PF00240,231,302,ubiquitin
F5H2Z3,PF00240,3,74,ubiquitin
F5H2Z3,PF00240,79,136,ubiquitin
F5H388,PF00240,3,74,ubiquitin
F5H388,PF00240,79,150,ubiquitin
P0CG47,PF00240,3,74,ubiquitin
P0CG47,PF00240,79,150,ubiquitin
P0CG47,PF00240,155,226,ubiquitin
Q5PY61,PF00240,3,74,ubiquitin
Q5PY61,PF00240,79,150,ubiquitin
Q5PY61,PF00240,155,226,ubiquitin
P60981,PF00241,23,151,Cofilin_ADF
Q16643,PF00241,13,132,Cofilin_ADF
Q12792,PF00241,184,311,Cofilin_ADF
Q12792,PF00241,9,136,Cofilin_ADF
Q9Y281,PF00241,11,152,Cofilin_ADF
B4DDD6,PF00241,12,86,Cofilin_ADF
P23528,PF00241,13,152,Cofilin_ADF
Q9UJU6,PF00241,12,131,Cofilin_ADF
Q04917,PF00244,10,234,14-3-3
P27348,PF00244,9,229,14-3-3
P62259,PF00244,10,232,14-3-3
P63104,PF00244,9,229,14-3-3
P62258,PF00244,10,232,14-3-3
P61981,PF00244,10,234,14-3-3
P31946,PF00244,11,231,14-3-3
P31947,PF00244,9,231,14-3-3
P09923,PF00245,52,487,Alk_phosphatase
Q9UI42,PF00246,129,408,Peptidase_M14
Q9UPW5,PF00246,859,1046,Peptidase_M14
Q96JD6,PF00248,6,298,Aldo_ket_red
O60218,PF00248,15,294,Aldo_ket_red
P42330,PF00248,18,301,Aldo_ket_red
Q13303,PF00248,51,355,Aldo_ket_red
P15121,PF00248,15,294,Aldo_ket_red
P52895,PF00248,18,301,Aldo_ket_red
P14550,PF00248,16,294,Aldo_ket_red
P51857,PF00248,20,304,Aldo_ket_red
Q04828,PF00248,18,301,Aldo_ket_red
O43488,PF00248,41,348,Aldo_ket_red
C9JRZ8,PF00248,16,294,Aldo_ket_red
P17516,PF00248,18,301,Aldo_ket_red
F8VXC8,PF00249,629,674,Myb_DNA-binding
P54274,PF00249,380,428,Myb_DNA-binding
P10242,PF00249,92,138,Myb_DNA-binding
P10242,PF00249,40,86,Myb_DNA-binding
P10242,PF00249,144,189,Myb_DNA-binding
Q6P0N0,PF00249,877,925,Myb_DNA-binding
Q9P2K3,PF00249,288,332,Myb_DNA-binding
Q8TAQ2,PF00249,598,643,Myb_DNA-binding
Q92922,PF00249,620,665,Myb_DNA-binding
Q5SXM2,PF00249,401,447,Myb_DNA-binding
Q5SXM2,PF00249,453,497,Myb_DNA-binding
Q15554,PF00249,489,537,Myb_DNA-binding
Q8IYH5,PF00249,652,703,Myb_DNA-binding
P85037,PF00250,304,390,Forkhead
Q9P0K8,PF00250,65,151,Forkhead
Q12951,PF00250,122,208,Forkhead
P55317,PF00250,169,255,Forkhead
Q08050,PF00250,235,319,Forkhead
O75593,PF00250,32,117,Forkhead
P27635,PF00252,12,166,Ribosomal_L16
Q5T1M5,PF00254,191,287,FKBP_C
Q02790,PF00254,43,135,FKBP_C
Q02790,PF00254,160,250,FKBP_C
P68106,PF00254,13,105,FKBP_C
P26885,PF00254,42,134,FKBP_C
O00170,PF00254,26,95,FKBP_C
Q14318,PF00254,113,201,FKBP_C
P36969,PF00255,41,148,GSHPx
Q8TED1,PF00255,47,155,GSHPx
Q9NV66,PF00258,81,232,Flavodoxin_1
P07951,PF00261,48,284,Tropomyosin
P06753,PF00261,49,285,Tropomyosin
P09493,PF00261,48,284,Tropomyosin
P27797,PF00262,23,258,Calreticulin
P27797,PF00262,257,332,Calreticulin
Q96L12,PF00262,23,248,Calreticulin
Q96L12,PF00262,246,318,Calreticulin
Q9UJV9,PF00270,205,385,DEAD
Q9NXZ2,PF00270,266,437,DEAD
O00148,PF00270,68,237,DEAD
Q9H8H2,PF00270,255,432,DEAD
Q14240,PF00270,57,224,DEAD
Q96GQ7,PF00270,242,412,DEAD
Q13206,PF00270,93,263,DEAD
P46063,PF00270,93,264,DEAD
P38919,PF00270,62,228,DEAD
Q92841,PF00270,195,366,DEAD
Q86XP3,PF00270,277,448,DEAD
Q6P158,PF00270,548,709,DEAD
Q8NHQ9,PF00270,33,212,DEAD
O95786,PF00270,244,420,DEAD
Q8TDD1,PF00270,120,288,DEAD
Q7Z478,PF00270,575,744,DEAD
Q9GZR7,PF00270,216,516,DEAD
Q9H6R0,PF00270,68,240,DEAD
Q9H6S0,PF00270,196,355,DEAD
P54132,PF00270,669,841,DEAD
Q9BQ39,PF00270,161,336,DEAD
Q8N8A6,PF00270,222,441,DEAD
Q15477,PF00270,312,463,DEAD
Q8IY37,PF00270,255,418,DEAD
Q9Y6V7,PF00270,26,196,DEAD
Q13838,PF00270,69,238,DEAD
Q7L014,PF00270,396,570,DEAD
Q9NUU7,PF00270,115,283,DEAD
Q86TM3,PF00270,246,417,DEAD
O94762,PF00270,31,203,DEAD
O15523,PF00270,202,390,DEAD
Q9NQI0,PF00270,312,491,DEAD
Q14191,PF00270,550,713,DEAD
Q08211,PF00270,391,551,DEAD
Q7L2E3,PF00270,437,600,DEAD
Q8N3C0,PF00270,478,657,DEAD
Q8N3C0,PF00270,1328,1500,DEAD
Q9H2U1,PF00270,210,376,DEAD
Q92499,PF00270,26,418,DEAD
P60842,PF00270,56,223,DEAD
Q92620,PF00270,535,694,DEAD
Q9NVP1,PF00270,203,374,DEAD
P17844,PF00270,118,289,DEAD
O43143,PF00270,141,301,DEAD
Q9NUL7,PF00270,152,340,DEAD
O60231,PF00270,402,562,DEAD
Q9UHI6,PF00270,86,253,DEAD
P26196,PF00270,120,287,DEAD
P42285,PF00270,141,292,DEAD
Q9NR30,PF00270,210,385,DEAD
Q9H0S4,PF00270,48,215,DEAD
Q9NY93,PF00270,31,207,DEAD
O00571,PF00270,204,392,DEAD
O75643,PF00270,1329,1514,DEAD
O75643,PF00270,482,663,DEAD
Q9Y2R4,PF00270,189,363,DEAD
Q9BUQ8,PF00270,415,616,DEAD
Q9UJV9,PF00271,419,527,Helicase_C
P46100,PF00271,2018,2155,Helicase_C
Q9NXZ2,PF00271,472,582,Helicase_C
O00148,PF00271,272,381,Helicase_C
Q9H8H2,PF00271,493,623,Helicase_C
Q14240,PF00271,259,368,Helicase_C
Q14562,PF00271,756,895,Helicase_C
Q96GQ7,PF00271,449,558,Helicase_C
Q13206,PF00271,299,410,Helicase_C
P46063,PF00271,299,409,Helicase_C
P38919,PF00271,263,372,Helicase_C
Q92841,PF00271,401,513,Helicase_C
Q86XP3,PF00271,483,593,Helicase_C
Q6P158,PF00271,828,969,Helicase_C
Q8NHQ9,PF00271,253,363,Helicase_C
F5GWX5,PF00271,1043,1157,Helicase_C
P51531,PF00271,1050,1164,Helicase_C
O95786,PF00271,609,734,Helicase_C
Q8TDD1,PF00271,322,433,Helicase_C
O14646,PF00271,788,902,Helicase_C
Q7Z478,PF00271,847,986,Helicase_C
Q9GZR7,PF00271,574,682,Helicase_C
Q9NRZ9,PF00271,599,712,Helicase_C
Q9H6R0,PF00271,267,410,Helicase_C
Q9H6S0,PF00271,607,744,Helicase_C
Q9H5Z1,PF00271,258,398,Helicase_C
P54132,PF00271,874,984,Helicase_C
Q9BQ39,PF00271,375,483,Helicase_C
Q8N8A6,PF00271,490,600,Helicase_C
Q15477,PF00271,564,708,Helicase_C
Q8IY37,PF00271,582,676,Helicase_C
Q9Y6V7,PF00271,230,343,Helicase_C
Q13838,PF00271,273,382,Helicase_C
Q7L014,PF00271,604,714,Helicase_C
Q9NUU7,PF00271,318,433,Helicase_C
P51532,PF00271,1080,1194,Helicase_C
Q9P2D1,PF00271,1290,1404,Helicase_C
Q86TM3,PF00271,452,562,Helicase_C
Q14527,PF00271,833,950,Helicase_C
Q8IYB8,PF00271,352,475,Helicase_C
O94762,PF00271,243,354,Helicase_C
O15523,PF00271,424,534,Helicase_C
Q9NQI0,PF00271,526,635,Helicase_C
Q14191,PF00271,748,859,Helicase_C
Q08211,PF00271,635,769,Helicase_C
Q7L2E3,PF00271,652,787,Helicase_C
Q8N3C0,PF00271,1545,1694,Helicase_C
Q8N3C0,PF00271,699,857,Helicase_C
Q9HBD4,PF00271,1080,1194,Helicase_C
Q9H2U1,PF00271,472,607,Helicase_C
Q9UPY3,PF00271,435,556,Helicase_C
Q92499,PF00271,488,610,Helicase_C
P60842,PF00271,258,367,Helicase_C
Q92620,PF00271,725,861,Helicase_C
O60264,PF00271,483,597,Helicase_C
Q9BYX4,PF00271,699,826,Helicase_C
Q9NVP1,PF00271,411,520,Helicase_C
Q14839,PF00271,1050,1164,Helicase_C
P28370,PF00271,486,612,Helicase_C
P17844,PF00271,324,436,Helicase_C
O43143,PF00271,334,477,Helicase_C
Q9NUL7,PF00271,376,492,Helicase_C
O60231,PF00271,591,730,Helicase_C
Q9UHI6,PF00271,295,404,Helicase_C
P26196,PF00271,320,429,Helicase_C
P42285,PF00271,373,528,Helicase_C
Q96C10,PF00271,349,475,Helicase_C
Q9NR30,PF00271,425,532,Helicase_C
Q9H0S4,PF00271,249,358,Helicase_C
Q9NY93,PF00271,243,380,Helicase_C
Q8TDI0,PF00271,1024,1138,Helicase_C
O00571,PF00271,426,536,Helicase_C
Q12873,PF00271,1060,1174,Helicase_C
O75643,PF00271,703,860,Helicase_C
Q9Y2R4,PF00271,398,507,Helicase_C
Q9BUQ8,PF00271,650,759,Helicase_C
C9JKR2,PF00273,30,202,Serum_albumin
C9JKR2,PF00273,222,400,Serum_albumin
P02768,PF00273,222,394,Serum_albumin
P02768,PF00273,30,202,Serum_albumin
P02768,PF00273,414,592,Serum_albumin
D6RHD5,PF00273,72,244,Serum_albumin
D6RHD5,PF00273,264,442,Serum_albumin
D6RHD5,PF00273,5,52,Serum_albumin
B7WNR0,PF00273,107,279,Serum_albumin
B7WNR0,PF00273,299,477,Serum_albumin
B7WNR0,PF00273,20,87,Serum_albumin
H0YA55,PF00273,67,239,Serum_albumin
H0YA55,PF00273,259,437,Serum_albumin
H0YA55,PF00273,3,47,Serum_albumin
P04075,PF00274,15,364,Glycolytic
P05062,PF00274,15,364,Glycolytic
P09972,PF00274,15,364,Glycolytic
P62752,PF00276,75,148,Ribosomal_L23
Q16540,PF00276,28,107,Ribosomal_L23
P62750,PF00276,75,148,Ribosomal_L23
O14977,PF00278,27,385,Orn_DAP_Arg_deC
P62913,PF00281,10,63,Ribosomal_L5
Q6P996,PF00282,167,318,Pyridoxal_deC
O75390,PF00285,71,450,Citrate_synt
P53396,PF00285,881,1086,Citrate_synt
P14415,PF00287,7,283,Na_K-ATPase
P05026,PF00287,2,297,Na_K-ATPase
P51570,PF00288,126,194,GHMP_kinases_N
P05165,PF00289,62,171,Biotin_carb_N
P11498,PF00289,36,146,Biotin_carb_N
Q13085,PF00289,117,237,Biotin_carb_N
P35520,PF00291,80,376,PALP
P0DN79,PF00291,80,376,PALP
P15863,PF00292,98,222,PAX
Q02962,PF00292,16,140,PAX
Q8WV74,PF00293,29,159,NUDIX
P53370,PF00293,141,270,NUDIX
Q8IU60,PF00293,95,221,NUDIX
P36639,PF00293,45,168,NUDIX
O95848,PF00293,38,202,NUDIX
Q96DE0,PF00293,34,142,NUDIX
Q9UKK9,PF00293,58,196,NUDIX
P55263,PF00294,42,360,PfkB
Q92901,PF00297,1,375,Ribosomal_L3
P09001,PF00297,113,340,Ribosomal_L3
P09001,PF00297,1,118,Ribosomal_L3
P39023,PF00297,1,375,Ribosomal_L3
P30050,PF00298,73,143,Ribosomal_L11
Q9Y3B7,PF00298,83,155,Ribosomal_L11
P07738,PF00300,6,137,His_Phos_1
P07738,PF00300,127,229,His_Phos_1
Q16875,PF00300,249,435,His_Phos_1
P18669,PF00300,6,138,His_Phos_1
P18669,PF00300,135,227,His_Phos_1
P15259,PF00300,6,134,His_Phos_1
P15259,PF00300,126,223,His_Phos_1
Q96HS1,PF00300,100,278,His_Phos_1
Q16877,PF00300,252,438,His_Phos_1
P04818,PF00303,31,313,Thymidylat_synt
O75342,PF00305,234,684,Lipoxygenase
P25705,PF00306,422,547,ATP-synt_ab_C
Q9UPQ0,PF00307,23,127,CH
Q5VUJ6,PF00307,643,756,CH
P21333,PF00307,43,150,CH
P21333,PF00307,166,270,CH
P13796,PF00307,120,236,CH
P13796,PF00307,264,376,CH
P13796,PF00307,515,625,CH
P13796,PF00307,394,504,CH
Q15149,PF00307,179,283,CH
Q15149,PF00307,295,401,CH
Q9UPY8,PF00307,14,120,CH
P13797,PF00307,123,239,CH
P13797,PF00307,267,379,CH
P13797,PF00307,518,628,CH
P13797,PF00307,397,507,CH
Q14155,PF00307,1,91,CH
O75369,PF00307,16,123,CH
O75369,PF00307,139,243,CH
Q99439,PF00307,28,133,CH
P11532,PF00307,15,120,CH
P11532,PF00307,134,241,CH
Q9UI15,PF00307,24,138,CH
Q01082,PF00307,173,279,CH
Q01082,PF00307,54,159,CH
O43903,PF00307,34,158,CH
Q15417,PF00307,26,131,CH
Q8IZT6,PF00307,1110,1261,CH
P35609,PF00307,151,258,CH
P35609,PF00307,38,143,CH
Q8NF91,PF00307,178,284,CH
Q8NF91,PF00307,27,135,CH
P11277,PF00307,173,279,CH
P11277,PF00307,54,159,CH
Q03001,PF00307,35,139,CH
Q03001,PF00307,151,256,CH
P37802,PF00307,24,137,CH
Q15555,PF00307,57,163,CH
P46940,PF00307,44,161,CH
O43707,PF00307,163,270,CH
O43707,PF00307,50,155,CH
P12814,PF00307,144,251,CH
P12814,PF00307,31,136,CH
Q8WWI1,PF00307,71,179,CH
Q69YQ0,PF00307,1011,1117,CH
Q155Q3,PF00307,20,128,CH
Q15691,PF00307,14,120,CH
P52735,PF00307,1,121,CH
Q5M775,PF00307,962,1068,CH
Q8N3D4,PF00307,1037,1142,CH
Q9Y2L9,PF00307,576,692,CH
Q9UPN3,PF00307,78,182,CH
Q9UPN3,PF00307,194,299,CH
O15020,PF00307,176,282,CH
O15020,PF00307,57,162,CH
Q9H254,PF00307,180,286,CH
Q9H254,PF00307,61,166,CH
Q14315,PF00307,36,143,CH
Q14315,PF00307,159,263,CH
Q86VI3,PF00307,34,150,CH
P62277,PF00312,70,149,Ribosomal_S15
P82914,PF00312,107,188,Ribosomal_S15
O75534,PF00313,186,248,CSD
O75534,PF00313,519,582,CSD
O75534,PF00313,674,738,CSD
O75534,PF00313,26,90,CSD
O75534,PF00313,349,413,CSD
P67809,PF00313,59,128,CSD
P16989,PF00313,91,160,CSD
Q9Y2V2,PF00313,63,129,CSD
Q6ZN17,PF00313,30,102,CSD
C9J5V9,PF00313,59,97,CSD
H0Y449,PF00313,126,178,CSD
Q9H9Z2,PF00313,40,112,CSD
O00757,PF00316,12,199,FBPase
P09467,PF00316,12,199,FBPase
P23921,PF00317,141,213,Ribonuc_red_lgN
P08865,PF00318,111,184,Ribosomal_S2
P08865,PF00318,18,118,Ribosomal_S2
Q9Y399,PF00318,84,186,Ribosomal_S2
Q9Y399,PF00318,184,260,Ribosomal_S2
P15976,PF00320,258,292,GATA
P15976,PF00320,204,238,GATA
P23771,PF00320,263,297,GATA
P23771,PF00320,317,351,GATA
Q8WXI9,PF00320,420,454,GATA
Q86YP4,PF00320,417,451,GATA
P05305,PF00322,49,77,Endothelin
P55011,PF00324,290,793,AA_permease
Q9H2X9,PF00324,412,699,AA_permease
Q9H2X9,PF00324,125,328,AA_permease
P42658,PF00326,641,850,Peptidase_S9
P18124,PF00327,90,140,Ribosomal_L30
Q6DKI1,PF00327,97,147,Ribosomal_L30
Q8TE99,PF00328,87,424,His_Phos_2
Q9UNW1,PF00328,81,439,His_Phos_2
Q6PFW1,PF00328,390,910,His_Phos_2
O75489,PF00329,86,208,Complex1_30kDa
P21399,PF00330,59,564,Aconitase
Q99798,PF00330,67,503,Aconitase
P15880,PF00333,102,166,Ribosomal_S5
O00746,PF00334,38,172,NDK
P22392,PF00334,5,139,NDK
Q8N427,PF00334,451,586,NDK
Q8N427,PF00334,316,452,NDK
Q8N427,PF00334,155,237,NDK
Q13232,PF00334,22,156,NDK
P15531,PF00334,5,139,NDK
Q9Y5B8,PF00334,92,226,NDK
Q9Y5B8,PF00334,238,375,NDK
P60033,PF00335,10,229,Tetraspanin
O43657,PF00335,17,236,Tetraspanin
P21926,PF00335,10,220,Tetraspanin
P47929,PF00337,5,135,Gal-bind_lectin
O00214,PF00337,18,151,Gal-bind_lectin
O00214,PF00337,186,316,Gal-bind_lectin
P17931,PF00337,117,247,Gal-bind_lectin
Q96GC5,PF00338,92,187,Ribosomal_S10
P49407,PF00339,18,174,Arrestin_N
P32121,PF00339,19,175,Arrestin_N
P49765,PF00341,47,124,PDGF
P06744,PF00342,54,546,PGI
P11217,PF00343,113,828,Phosphorylase
P06737,PF00343,113,828,Phosphorylase
P11216,PF00343,113,828,Phosphorylase
O75306,PF00346,193,463,Complex1_49kDa
P32969,PF00347,12,87,Ribosomal_L6
P32969,PF00347,99,178,Ribosomal_L6
P14324,PF00348,108,374,polyprenyl_synt
P19367,PF00349,469,667,Hexokinase_1
P19367,PF00349,21,219,Hexokinase_1
P52789,PF00349,21,219,Hexokinase_1
P52789,PF00349,469,667,Hexokinase_1
P50570,PF00350,34,207,Dynamin_N
Q9H223,PF00350,64,224,Dynamin_N
O60313,PF00350,291,469,Dynamin_N
Q9NZN4,PF00350,61,221,Dynamin_N
P20592,PF00350,121,296,Dynamin_N
P20591,PF00350,73,249,Dynamin_N
O95140,PF00350,99,259,Dynamin_N
Q9H4M9,PF00350,61,221,Dynamin_N
Q9UQ16,PF00350,34,207,Dynamin_N
Q9NZN3,PF00350,61,221,Dynamin_N
Q05193,PF00350,34,207,Dynamin_N
O00429,PF00350,28,217,Dynamin_N
P20226,PF00352,162,244,TBP
P20226,PF00352,252,335,TBP
P62380,PF00352,10,91,TBP
P62380,PF00352,99,181,TBP
Q15818,PF00354,228,422,Pentaxin
P47985,PF00355,153,264,Rieske
Q96NN9,PF00355,68,155,Rieske
P05556,PF00362,138,382,Integrin_beta
P16144,PF00362,125,370,Integrin_beta
P10515,PF00364,219,293,Biotin_lipoyl
P10515,PF00364,92,165,Biotin_lipoyl
Q13085,PF00364,752,818,Biotin_lipoyl
P36957,PF00364,71,143,Biotin_lipoyl
O00330,PF00364,57,131,Biotin_lipoyl
P05165,PF00364,660,727,Biotin_lipoyl
P11182,PF00364,65,138,Biotin_lipoyl
P11498,PF00364,1110,1177,Biotin_lipoyl
P17858,PF00365,17,324,PFK
P17858,PF00365,401,686,PFK
P08237,PF00365,17,324,PFK
P08237,PF00365,402,687,PFK
Q01813,PF00365,26,333,PFK
Q01813,PF00365,412,697,PFK
P62280,PF00366,75,144,Ribosomal_S17
P62281,PF00366,75,144,Ribosomal_S17
O75191,PF00370,125,287,FGGY_N
P32189,PF00370,12,272,FGGY_N
Q15678,PF00373,105,220,FERM_M
Q9BZ67,PF00373,135,272,FERM_M
P35241,PF00373,88,206,FERM_M
Q05397,PF00373,133,258,FERM_M
Q16825,PF00373,107,222,FERM_M
P26038,PF00373,88,206,FERM_M
Q9HD67,PF00373,1793,1958,FERM_M
Q13402,PF00373,2007,2115,FERM_M
Q9Y4F1,PF00373,123,230,FERM_M
Q9Y2J2,PF00373,192,301,FERM_M
Q12923,PF00373,666,781,FERM_M
Q6PIF6,PF00373,1898,2012,FERM_M
P15311,PF00373,88,206,FERM_M
O00522,PF00373,517,640,FERM_M
Q9Y4G6,PF00373,203,316,FERM_M
O43491,PF00373,300,409,FERM_M
P11171,PF00373,292,401,FERM_M
Q14289,PF00373,141,262,FERM_M
Q9Y490,PF00373,201,313,FERM_M
Q9H4G0,PF00373,179,288,FERM_M
P43004,PF00375,46,496,SDF
P43003,PF00375,50,497,SDF
P04156,PF00377,134,252,Prion
P40939,PF00378,44,242,ECH_1
Q9NTX5,PF00378,59,292,ECH_1
Q13011,PF00378,62,322,ECH_1
Q13825,PF00378,84,339,ECH_1
O75521,PF00378,145,393,ECH_1
P82933,PF00380,274,396,Ribosomal_S9
P62249,PF00380,14,146,Ribosomal_S9
Q00403,PF00382,110,201,TFIIB
Q00403,PF00382,204,295,TFIIB
Q92994,PF00382,82,173,TFIIB
Q92994,PF00382,176,270,TFIIB
P28331,PF00384,301,629,Molybdopterin
O14646,PF00385,389,443,Chromo
O14646,PF00385,273,355,Chromo
P83917,PF00385,21,70,Chromo
Q8TDI0,PF00385,592,644,Chromo
Q9H5I1,PF00385,47,96,Chromo
F5GWX5,PF00385,615,667,Chromo
P83916,PF00385,21,70,Chromo
Q12873,PF00385,631,683,Chromo
O43463,PF00385,43,92,Chromo
P45973,PF00385,20,69,Chromo
O00257,PF00385,11,60,Chromo
Q13185,PF00385,30,79,Chromo
Q9P2D1,PF00385,882,935,Chromo
Q9P2D1,PF00385,800,862,Chromo
Q14781,PF00385,12,61,Chromo
Q14839,PF00385,622,674,Chromo
P02747,PF00386,121,242,C1q
Q9H8L6,PF00386,827,946,C1q
P02745,PF00386,116,241,C1q
P19174,PF00387,953,1068,PI-PLC-Y
Q15147,PF00387,565,679,PI-PLC-Y
Q9NQ66,PF00387,540,654,PI-PLC-Y
P51178,PF00387,492,607,PI-PLC-Y
Q8N3E9,PF00387,528,642,PI-PLC-Y
P19174,PF00388,322,465,PI-PLC-X
Q9NQ66,PF00388,318,468,PI-PLC-X
Q15147,PF00388,315,464,PI-PLC-X
P51178,PF00388,298,441,PI-PLC-X
