uniprot_acc	refseq	version
P07195	NM_001315537	1
P07195	NM_002300	7
P07196	NM_006158	4
P07197	NM_005382	2
P07199	NM_001810	5
P07205	NM_138733	4
P07237	NM_000918	3
P07305	NM_005318	3
P07333	NM_001288705	2
P07333	NM_005211	3
P07355	NM_001002857	1
P07355	NM_001002858	2
P07355	NM_001136015	2
P07355	NM_004039	2
P07355	XM_017022090	1
P07355	XM_017022091	1
P07384	NM_001198868	1
P07384	NM_001198869	1
P07384	NM_005186	3
P07384	XM_006718698	1
P07384	XM_011545292	1
P07437	NM_001293212	1
P07437	NM_001293213	1
P07437	NM_001293214	1
P07437	NM_001293215	1
P07437	NM_001293216	1
P07437	NM_178014	3
P07550	NM_000024	5
P07737	NM_005022	3
P07814	NM_004446	2
P07900	NM_001017963	2
P07900	NM_005348	3
P07910	NM_001077442	1
P07910	NM_001077443	1
P07910	NM_004500	3
P07910	NM_031314	2
P07910	XM_006720125	2
P07910	XM_011536708	1
P07910	XM_011536709	2
P07910	XM_011536710	2
P07910	XM_011536711	2
P07910	XM_011536712	1
P07910	XM_017021252	1
P07910	XM_017021253	1
P07947	NM_005433	3
P07947	XM_017025960	1
P07948	NM_001111097	2
P07948	NM_002350	3
P07948	XM_017013416	1
P07951	NM_003289	3
P07951	NM_213674	1
P07951	XM_017015091	1
P07954	NM_000143	3
P08047	NM_001251825	1
P08047	NM_003109	1
P08047	NM_138473	2
P08047	XM_011538696	2
P08069	NM_000875	4
P08069	NM_001291858	1
P08133	NM_001155	4
P08133	NM_001193544	1
P08183	NM_000927	4
P08195	NM_001012662	2
P08195	NM_001012664	2
P08195	NM_001013251	2
P08195	NM_002394	5
P08237	NM_000289	5
P08237	NM_001166686	1
P08237	NM_001166687	1
P08237	NM_001166688	1
P08237	XM_005268977	1
P08237	XM_005268978	2
P08237	XM_005268979	1
P08237	XM_011538488	2
P08237	XM_017019468	1
P08238	NM_001271969	1
P08238	NM_001271970	1
P08238	NM_001271971	1
P08238	NM_007355	3
P08240	NM_001177842	1
P08240	NM_003139	3
P08247	NM_003179	2
P08263	NM_145740	4
P08559	NM_000284	3
P08559	NM_001173454	1
P08559	NM_001173455	1
P08559	NM_001173456	1
P08574	NM_001916	4
P08575	NM_002838	4
P08575	NM_080921	3
P08575	XM_006711472	3
P08575	XM_006711473	3
P08575	XM_006711474	3
P08579	NM_003092	4
P08579	NM_198220	2
P08621	NM_001301069	1
P08621	NM_003089	5
P08631	NM_001172129	1
P08631	NM_001172130	1
P08631	NM_001172131	1
P08631	NM_001172133	1
P08631	NM_002110	3
P08670	NM_003380	3
P08670	XM_006717500	1
P08708	NM_001021	4
P08729	NM_005556	3
P08754	NM_006496	3
P08758	NM_001154	3
P08865	NM_001304288	1
P08865	NM_002295	5
P08922	NM_002944	2
P08F94	NM_138694	3
P08F94	NM_170724	2
P08F94	XM_011514680	2
P08F94	XM_017010944	1
P09001	NM_007208	3
P09012	NM_004596	4
P09038	NM_002006	4
P09104	NM_001975	2
P09110	NM_001130410	1
P09110	NM_001607	3
P09132	NM_001204193	1
P09132	NM_001204194	1
P09132	NM_001204196	1
P09132	NM_003135	2
P09210	NM_000846	4
P09210	XM_011514532	2
P09211	NM_000852	3
P09234	NM_003093	2
P09327	NM_007127	2
P09417	NM_000320	2
P09417	NM_001306140	1
P09429	NM_001313892	1
P09429	NM_001313893	1
P09429	NM_002128	5
P09467	NM_000507	3
P09467	NM_001127628	1
P09471	NM_020988	2
P09471	NM_138736	2
P09493	NM_000366	5
P09493	NM_001018004	1
P09493	NM_001018005	1
P09493	NM_001018006	1
P09493	NM_001018007	1
P09493	NM_001018008	1
P09493	NM_001018020	1
P09493	NM_001301244	1
P09493	NM_001330344	1
P09493	NM_001330346	1
P09493	NM_001330351	1
P09493	XM_017022538	1
P09497	NM_001834	3
P09497	NM_007097	3
P09525	NM_001153	4
P09525	NM_001320698	1
P09525	NM_001320700	1
P09525	NM_001320702	1
P09525	XM_017003943	1
P09525	XM_017003944	1
P09543	NM_001330216	1
P09543	NM_033133	4
P09543	XM_011524340	2
P09619	NM_002609	3
P09619	XM_011537658	1
P09619	XM_011537659	1
P09622	NM_000108	4
P09622	NM_001289750	1
P09622	NM_001289751	1
P09622	NM_001289752	1
P09651	NM_002136	3
P09651	NM_031157	3
P09651	XM_005268826	1
P09661	NM_003090	3
P09669	NM_004374	3
P09669	XM_017013020	1
P09874	NM_001618	3
P09923	NM_001631	4
P09936	NM_004181	4
P09972	NM_005165	2
P09972	XM_005257949	2
P09972	XM_011524556	1
P0C0S5	NM_002106	3
P0C0S8	NM_003509	2
P0C0S8	NM_003510	2
P0C0S8	NM_003511	2
P0C0S8	NM_003514	2
P0C0S8	NM_021064	4
P0C7T5	NM_001137675	3
P0C7X2	NM_001024683	1
P0C7X2	NM_145271	3
P0CB47	NM_001143975	1
P0CG48	NM_021009	6
P0DJD0	NM_001024457	3
P0DMV8	NM_005345	5
P0DMV9	NM_005346	4
P0DN76	NM_001320646	1
P0DP25	NM_001329922	1
P0DP25	NM_001329923	1
P0DP25	NM_001329924	1
P0DP25	NM_001329925	1
P0DP25	NM_001329926	1
P0DP25	NM_001743	5
P0DP25	NM_005184	3
P0DP25	NM_006888	4
P0DP58	NM_023946	3
P0DP58	NM_177457	4
P0DP58	NM_177476	3
P0DP58	NM_177477	3
P0DPH8	NM_006001	2
P0DPH8	NM_080386	3
P0DPI2	NM_004649	7
P10071	NM_000168	5
P10074	NM_001278647	1
P10074	NM_001278648	1
P10074	NM_005341	3
P10155	NM_001042369	2
P10155	NM_001042370	2
P10155	NM_001173524	1
P10155	NM_001173525	1
P10155	NM_004600	5
P10155	XM_006711497	3
P10155	XM_017002181	1
P10155	XM_017002182	1
P10242	NM_001130172	1
P10242	NM_001130173	1
P10242	NM_001161656	1
P10242	NM_001161657	1
P10242	NM_001161658	1
P10242	NM_001161659	1
P10242	NM_001161660	1
P10242	NM_005375	3
P10276	NM_000964	3
P10276	NM_001024809	3
P10276	NM_001145301	2
P10276	NM_001145302	2
P10276	XM_005257553	1
P10276	XM_005257554	1
P10276	XM_011525095	1
P10398	NM_001256196	1
P10398	NM_001256197	1
P10398	NM_001654	4
P10398	XM_011543908	2
P10412	NM_005321	2
P10415	NM_000633	2
P10415	NM_000657	2
P10515	NM_001931	4
P10586	NM_002840	4
P10586	NM_130440	3
P10599	NM_001244938	1
P10599	NM_003329	3
P10606	NM_001862	2
P10636	NM_001123066	3
P10636	NM_001123067	3
P10636	NM_001203252	1
P10636	NM_005910	5
P10636	NM_016834	4
P10636	NM_016835	4
P10636	NM_016841	4
P10644	NM_001276289	1
P10644	NM_001276290	1
P10644	NM_001278433	1
P10644	NM_002734	4
P10644	NM_212471	2
P10644	NM_212472	2
P10644	XM_011524983	2
P10644	XM_011524984	2
P10644	XM_011524985	2
P10696	NM_031313	2
P10721	NM_000222	2
P10721	NM_001093772	1
P10809	NM_002156	4
P10809	NM_199440	1
P10827	NM_001190918	1
P10827	NM_001190919	1
P10827	NM_003250	5
P10827	NM_199334	3
P10909	NM_001831	3
P10915	NM_001884	3
P10915	XM_011543168	2
P10915	XM_017009051	1
P10915	XM_017009052	1
P11021	NM_005347	4
P11137	NM_001039538	1
P11137	NM_002374	3
P11137	NM_031845	2
P11137	NM_031847	2
P11137	XM_017004118	1
P11137	XM_017004123	1
P11137	XM_017004124	1
P11137	XM_017004138	1
P11137	XM_017004139	1
P11137	XM_017004140	1
P11142	NM_006597	5
P11142	NM_153201	3
P11142	XM_011542798	1
P11166	NM_006516	2
P11171	NM_001166005	1
P11171	NM_001166006	1
P11171	NM_004437	3
P11171	NM_203342	2
P11171	XM_005245761	1
P11171	XM_005245764	1
P11171	XM_017000589	1
P11177	NM_000925	3
P11177	NM_001173468	1
P11177	NM_001315536	1
P11182	NM_001918	3
P11216	NM_002862	3
P11217	NM_001164716	1
P11217	NM_005609	3
P11233	NM_005402	3
P11233	XM_006715762	2
P11233	XM_011515466	1
P11234	NM_002881	2
P11234	XM_005263724	1
P11234	XM_005263727	1
P11234	XM_005263728	1
P11234	XM_005263729	2
P11234	XM_017004622	1
P11274	NM_004327	3
P11274	NM_021574	2
P11277	NM_000347	5
P11277	NM_001024858	2
P11277	XM_005268023	4
P11277	XM_017021612	1
P11277	XM_017021614	1
P11308	NM_001136154	1
P11308	NM_001136155	1
P11308	NM_001243428	1
P11308	NM_001243429	1
P11308	NM_001243432	2
P11308	NM_001291391	1
P11308	NM_004449	4
P11308	NM_182918	3
P11309	NM_001243186	1
P11309	NM_002648	3
P11362	NM_001174063	1
P11362	NM_001174064	1
P11362	NM_001174065	1
P11362	NM_001174066	1
P11362	NM_001174067	1
P11362	NM_015850	3
P11362	NM_023105	2
P11362	NM_023106	2
P11362	NM_023110	2
P11387	NM_003286	3
P11388	NM_001067	3
P11413	NM_000402	4
P11413	NM_001042351	2
P11441	NM_014235	4
P11498	NM_000920	3
P11498	NM_001040716	1
P11498	NM_022172	2
P11498	XM_005274031	4
P11498	XM_005274032	4
P11498	XM_006718578	3
P11498	XM_011545086	2
P11498	XM_017017868	1
P11498	XM_017017869	1
P11498	XM_017017870	1
P11498	XM_017017871	1
P11498	XM_017017872	1
P11586	NM_005956	3
P11678	NM_000502	5
P11801	NM_006742	2
P11802	NM_000075	3
P11908	NM_001039091	2
P11908	NM_002765	4
P11940	NM_002568	3
P11940	XM_005250861	2
P12004	NM_002592	2
P12004	NM_182649	1
P12035	NM_057088	2
P12036	NM_021076	3
P12235	NM_001151	3
P12236	NM_001636	3
P12259	NM_000130	4
P12270	NM_003292	2
P12273	NM_002652	2
P12277	NM_001823	4
P12532	NM_001015001	2
P12532	NM_001321926	1
P12532	NM_001321927	1
P12532	NM_001321928	1
P12532	NM_020990	4
P12532	XM_011521194	1
P12532	XM_011521195	2
P12532	XM_011521196	1
P12532	XM_011521197	2
P12532	XM_017022369	1
P12532	XM_017022370	1
P12814	NM_001102	3
P12814	NM_001130004	1
P12814	NM_001130005	1
P12882	NM_005963	3
P12882	XM_017024675	1
P12931	NM_005417	4
P12931	NM_198291	2
P12931	XM_011529013	2
P12931	XM_017028024	1
P12931	XM_017028025	1
P12931	XM_017028026	1
P12931	XM_017028027	1
P12955	NM_000285	3
P12955	NM_001166056	1
P12955	NM_001166057	1
P12956	NM_001288976	1
P12956	NM_001288977	1
P12956	NM_001469	4
P13010	NM_021141	3
P13056	NM_001032287	2
P13056	NM_001127362	1
P13056	NM_003297	3
P13073	NM_001318786	1
P13073	NM_001318788	1
P13073	NM_001318794	1
P13073	NM_001318797	1
P13073	NM_001318802	1
P13073	NM_001861	4
P13385	NM_001174136	1
P13385	NM_003212	3
P13489	NM_002939	3
P13489	NM_203383	1
P13489	NM_203384	1
P13489	NM_203385	1
P13489	NM_203386	2
P13489	NM_203387	2
P13489	NM_203388	2
P13489	NM_203389	2
P13489	XM_011520255	1
P13489	XM_011520257	2
P13489	XM_011520258	2
P13489	XM_011520259	2
P13489	XM_011520260	2
P13489	XM_011520261	2
P13489	XM_011520262	2
P13489	XM_011520263	1
P13489	XM_017018106	1
P13498	NM_000101	3
P13569	NM_000492	3
P13591	NM_000615	6
P13591	NM_001076682	3
P13591	NM_001242608	1
P13591	NM_181351	4
P13611	NM_001126336	2
P13611	NM_001164097	1
P13611	NM_001164098	1
P13611	NM_004385	4
P13637	NM_001256213	1
P13637	NM_001256214	1
P13637	NM_152296	4
P13639	NM_001961	3
P13645	NM_000421	3
P13686	NM_001111034	2
P13686	NM_001111035	2
P13686	NM_001111036	2
P13686	NM_001322023	1
P13686	NM_001611	4
P13686	XM_005259938	1
P13686	XM_011528069	2
P13693	NM_001286273	1
P13693	NM_003295	3
P13796	NM_002298	4
P13796	XM_005266374	1
P13804	NM_000126	3
P13804	NM_001127716	1
P13861	NM_001321982	1
P13861	NM_001321983	1
P13861	NM_004157	3
P13861	XM_011533942	2
P13861	XM_017006815	1
P13866	NM_000343	3
P13866	NM_001256314	1
P13929	NM_001193503	1
P13929	NM_001976	4
P13929	NM_053013	3
P13929	XM_011523729	1
P13929	XM_017024346	1
P13984	NM_004128	2
P13987	NM_000611	5
P13987	NM_001127223	1
P13987	NM_001127225	1
P13987	NM_001127226	1
P13987	NM_001127227	1
P13987	NM_203329	2
P13987	NM_203330	2
P13987	NM_203331	2
P13995	NM_006636	3
P13995	XM_006711924	2
P14136	NM_001131019	2
P14136	NM_001242376	1
P14136	NM_002055	4
P14207	NM_000803	4
P14207	NM_001113534	1
P14207	NM_001113535	1
P14207	NM_001113536	1
P14314	NM_001001329	2
P14314	NM_001289102	1
P14314	NM_002743	3
P14314	XM_011528131	1
P14314	XM_011528132	1
P14314	XM_017026977	1
P14324	NM_001135821	1
P14324	NM_001135822	1
P14324	NM_001242824	1
P14324	NM_001242825	1
P14324	NM_002004	3
P14324	XM_005244962	1
P14324	XM_005244963	1
P14406	NM_001865	3
P14415	NM_001303263	1
P14415	NM_001678	4
P14550	NM_001202413	1
P14550	NM_001202414	1
P14550	NM_006066	3
P14550	NM_153326	2
P14618	NM_001206796	2
P14618	NM_001206797	2
P14618	NM_001206798	2
P14618	NM_001206799	1
P14618	NM_001316318	1
P14618	NM_002654	5
P14618	NM_182470	3
P14618	NM_182471	3
P14618	XM_005254445	4
P14618	XM_017022313	1
P14621	NM_138448	3
P14635	NM_031966	3
P14649	NM_001199629	1
P14649	NM_002475	4
P14678	NM_003091	3
P14678	NM_198216	1
P14854	NM_001863	4
P14859	NM_001198783	1
P14859	NM_001198786	1
P14859	NM_002697	3
P14859	XM_011509654	2
P14866	NM_001005335	1
P14866	NM_001533	2
P14866	XM_011526889	1
P14867	NM_000806	5
P14867	NM_001127643	1
P14867	NM_001127644	1
P14867	NM_001127645	1
P14867	NM_001127648	1
P14868	NM_001293312	1
P14868	NM_001349	3
P14923	NM_002230	2
P14923	NM_021991	2
P14923	XM_006721873	2
P14923	XM_006721874	2
P14923	XM_006721875	1
P14923	XM_006721878	1
P14923	XM_011524753	2
P14923	XM_011524755	1
P14923	XM_011524756	1
P14923	XM_011524757	2
P14923	XM_011524758	1
P14923	XM_017024590	1
P14927	NM_001199975	2
P14927	NM_001254752	1
P14927	NM_006294	4
P15018	NM_001257135	1
P15018	NM_002309	4
P15056	NM_004333	4
P15104	NM_001033044	3
P15104	NM_001033056	3
P15104	NM_002065	6
P15104	XM_006711278	1
P15121	NM_001628	3
P15170	NM_001130006	1
P15170	NM_001130007	1
P15259	NM_000290	3
P15309	NM_001099	4
P15309	NM_001134194	1
P15309	NM_001292037	1
P15311	NM_001111077	1
P15311	NM_003379	4
P15407	NM_001300844	1
P15407	NM_001300855	1
P15407	NM_001300856	1
P15407	NM_001300857	1
P15407	NM_005438	4
P15408	NM_005253	3
P15408	XM_017003737	1
P15502	NM_000501	3
P15502	NM_001081752	2
P15502	NM_001081753	2
P15502	NM_001081754	2
P15502	NM_001081755	2
P15502	NM_001278915	1
P15502	NM_001278916	1
P15502	NM_001278939	1
P15531	NM_000269	2
P15531	NM_198175	1
P15880	NM_002952	3
P15924	NM_001008844	2
P15924	NM_001319034	1
P15924	NM_004415	3
P15927	NM_001286076	1
P15927	NM_001297558	1
P15927	NM_002946	4
P15976	NM_002049	3
P16104	NM_002105	2
P16152	NM_001286789	1
P16152	NM_001757	3
P16157	NM_000037	3
P16157	NM_001142445	1
P16157	NM_001142446	1
P16157	NM_020475	2
P16157	NM_020476	2
P16157	NM_020477	2
P16157	NM_020478	4
P16157	NM_020480	4
P16234	NM_001347829	1
P16234	NM_006206	5
P16234	XM_005265743	1
P16284	NM_000442	4
P16284	XM_005276880	1
P16284	XM_005276881	1
P16284	XM_005276882	1
P16284	XM_011524889	2
P16284	XM_011524890	1
P16284	XM_017024738	1
P16284	XM_017024739	1
P16284	XM_017024740	1
P16298	NM_001142353	2
P16298	NM_001142354	2
P16298	NM_001289968	1
P16298	NM_001289969	1
P16298	NM_021132	3
P16333	NM_001190796	2
P16333	NM_001291999	1
P16333	NM_006153	5
P16383	NM_001201334	1
P16383	NM_001201335	1
P16383	NM_003203	4
P16401	NM_005322	2
P16402	NM_005320	2
P16403	NM_005319	3
P16452	NM_000119	2
P16452	NM_001114134	1
P16452	XM_011521349	2
P16452	XM_011521350	2
P16452	XM_011521351	2
P16499	NM_000440	2
P16591	NM_001308028	1
P16591	NM_001308031	1
P16591	NM_001308038	1
P16591	NM_005246	3
P16591	XM_011543271	2
P16591	XM_017009230	1
P16591	XM_017009231	1
P16615	NM_001681	3
P16615	NM_170665	3
P16615	XM_005253888	2
P16615	XM_011538402	2
P16989	NM_001145426	1
P16989	NM_003651	4
P17028	NM_001308123	1
P17028	NM_006965	3
P17028	XM_005258341	3
P17029	NM_001346581	1
P17029	NM_003439	3
P17029	XM_011516559	2
P17066	NM_002155	4
P17096	NM_001319077	1
P17096	NM_001319078	1
P17096	NM_001319079	1
P17096	NM_001319080	1
P17096	NM_001319081	1
P17096	NM_001319082	1
P17096	NM_002131	3
P17096	NM_145899	2
P17096	NM_145901	2
P17096	NM_145902	2
P17096	NM_145903	2
P17096	NM_145905	2
P17252	NM_002737	2
P17480	NM_001076683	1
P17480	NM_001076684	2
P17480	NM_014233	3
P17480	XM_006722059	3
P17480	XM_006722060	2
P17480	XM_006722061	2
P17480	XM_017025003	1
P17480	XM_017025004	1
P17516	NM_001818	3
P17540	NM_001099735	1
P17540	NM_001099736	1
P17540	NM_001825	2
P17568	NM_004146	5
P17600	NM_006950	3
P17600	NM_133499	2
P17612	NM_001304349	1
P17612	NM_002730	3
P17612	NM_207518	2
P17661	NM_001927	3
P17676	NM_001285878	1
P17676	NM_001285879	1
P17676	NM_005194	3
P17677	NM_001130064	1
P17677	NM_002045	3
P17677	XM_017006128	1
P17706	NM_001207013	1
P17706	NM_002828	3
P17706	NM_080422	2
P17706	NM_080423	2
P17812	NM_001301237	1
P17812	NM_001905	3
P17844	NM_001320595	1
P17844	NM_001320596	1
P17844	NM_004396	4
P17858	NM_001002021	2
P17858	NM_002626	5
P17931	NM_002306	3
P17948	NM_001159920	1
P17948	NM_001160030	1
P17948	NM_001160031	1
P17948	NM_002019	4
P17980	NM_002804	4
P17987	NM_030752	2
P18031	NM_001278618	1
P18031	NM_002827	3
P18074	NM_000400	3
P18074	NM_001130867	1
P18077	NM_000996	2
P18077	NM_001316311	1
P18124	NM_000971	3
P18206	NM_003373	3
P18206	NM_014000	2
P18433	NM_002836	3
P18433	NM_080840	2
P18433	NM_080841	2
P18583	NM_001291411	1
P18583	NM_001291412	1
P18583	NM_032195	2
P18583	NM_138927	2
P18615	NM_002904	5
P18621	NM_000985	4
P18621	NM_001035006	2
P18621	NM_001199340	1
P18621	NM_001199341	1
P18621	NM_001199342	1
P18621	NM_001199343	1
P18621	NM_001199344	1
P18621	NM_001199345	1
P18754	NM_001048194	2
P18754	NM_001048195	2
P18754	NM_001048199	2
P18754	NM_001269	4
P18848	NM_001675	4
P18848	NM_182810	2
P18848	XM_017028807	1
P18858	NM_000234	2
P18858	NM_001289063	1
P18858	NM_001289064	1
P18858	NM_001320970	1
P18858	NM_001320971	1
P18887	NM_006297	2
P19022	NM_001308176	1
P19022	NM_001792	4
P19086	NM_002073	3
P19174	NM_002660	2
P19174	NM_182811	1
P19338	NM_005381	2
P19367	NM_000188	2
P19367	NM_001322364	1
P19367	NM_033496	2
P19367	NM_033497	2
P19367	NM_033498	2
P19367	NM_033500	2
P19367	XM_011539732	1
P19388	NM_002695	3
P19404	NM_021074	4
P19474	NM_003141	3
P19525	NM_001135651	2
P19525	NM_001135652	2
P19525	NM_002759	3
P19525	XM_011532987	2
P19544	NM_000378	4
P19544	NM_001198551	1
P19544	NM_001198552	1
P19544	NM_024424	3
P19544	NM_024426	4
P19784	NM_001896	2
P19957	NM_002638	3
P20020	NM_001001323	1
P20020	NM_001682	2
P20020	XM_011538407	2
P20020	XM_017019358	1
P20042	NM_003908	4
P20073	NM_001156	4
P20073	NM_004034	3
P20073	XM_017016162	1
P20073	XM_017016163	1
P20226	NM_001172085	1
P20226	NM_003194	4
P20248	NM_001237	4
P20290	NM_001037637	1
P20290	NM_001207	4
P20336	NM_002866	4
P20336	XM_011528164	1
P20339	NM_001292048	1
P20339	NM_004162	4
P20340	NM_001243718	1
P20340	NM_001243719	1
P20340	NM_002869	4
P20340	NM_198896	1
P20592	NM_002463	1
P20592	XM_005260983	4
P20592	XM_005260984	1
P20592	XM_011529571	1
P20592	XM_011529572	1
P20648	NM_000704	2
P20671	NM_021065	3
P20674	NM_004255	3
P20700	NM_005573	3
P20774	NM_014057	4
P20774	NM_024416	4
P20774	NM_033014	3
P20916	NM_001199216	1
P20916	NM_002361	3
P20916	NM_080600	2
P20941	NM_002597	4
P20941	NM_022576	3
P20941	XM_011509603	2
P20962	NM_002824	5
P21108	NM_175886	2
P21127	NM_001291345	1
P21127	NM_001787	2
P21127	NM_033486	2
P21127	NM_033487	2
P21127	NM_033489	2
P21127	NM_033490	2
P21127	XM_017002926	1
P21266	NM_000849	4
P21281	NM_001693	3
P21283	NM_001695	4
P21291	NM_001193570	1
P21291	NM_001193571	1
P21291	NM_001193572	1
P21291	NM_004078	2
P21333	NM_001110556	1
P21333	NM_001456	3
P21359	NM_000267	3
P21359	NM_001042492	2
P21359	NM_001128147	2
P21397	NM_000240	3
P21397	NM_001270458	1
P21579	NM_001135805	1
P21579	NM_001135806	1
P21579	NM_005639	2
P21579	XM_011538710	1
P21579	XM_017019909	1
P21589	NM_001204813	1
P21589	NM_002526	3
P21675	NM_001286074	1
P21675	NM_004606	4
P21675	NM_138923	3
P21675	XM_005262297	4
P21796	NM_003374	2
P21796	XM_005272075	3
P21796	XM_017009821	1
P21796	XM_017009822	1
P21796	XM_017009823	1
P21802	NM_000141	4
P21802	NM_001144913	1
P21802	NM_001144914	1
P21802	NM_001144915	1
P21802	NM_001144916	1
P21802	NM_001144917	1
P21802	NM_001144918	1
P21802	NM_001144919	1
P21802	NM_001320654	1
P21802	NM_001320658	1
P21802	NM_022970	3
P21802	NM_023029	2
P21860	NM_001005915	1
P21860	NM_001982	3
P21912	NM_003000	2
P21926	NM_001330312	1
P21926	NM_001769	3
P21964	NM_000754	3
P21964	NM_001135161	1
P21964	NM_001135162	1
P21964	NM_007310	2
P21964	XM_017028594	1
P21964	XM_017028595	1
P22061	NM_001252049	1
P22061	NM_001252053	1
P22061	NM_005389	2
P22087	NM_001436	3
P22105	NM_019105	6
P22105	NM_032470	3
P22234	NM_001079524	1
P22234	NM_001079525	1
P22234	NM_006452	3
P22314	NM_003334	3
P22314	NM_153280	2
P22314	XM_017029780	1
P22314	XM_017029781	1
P22392	NM_001018136	2
P22392	NM_001018137	2
P22392	NM_001018138	1
P22392	NM_001018139	2
P22392	NM_002512	3
P22413	NM_006208	2
P22455	NM_001291980	1
P22455	NM_002011	4
P22455	NM_022963	3
P22455	NM_213647	2
P22455	XM_005265838	3
P22466	NM_015973	4
P22607	NM_000142	4
P22607	NM_001163213	1
P22607	NM_022965	3
P22612	NM_002732	3
P22626	NM_002137	3
P22626	NM_031243	2
P22626	XM_005249729	1
P22626	XM_017012109	1
P22626	XM_017012110	1
P22692	NM_001552	2
P22694	NM_001242857	2
P22694	NM_001242858	2
P22694	NM_001242859	2
P22694	NM_001242860	2
P22694	NM_001242861	2
P22694	NM_001242862	2
P22694	NM_001300915	1
P22694	NM_001300916	1
P22694	NM_001300917	1
P22694	NM_002731	3
P22694	NM_182948	3
P22694	NM_207578	2
P22694	XM_005271019	1
P22694	XM_006710758	1
P22695	NM_003366	3
P22748	NM_000717	4
P22748	XM_017025012	1
P23193	NM_006756	3
P23193	NM_201437	2
P23246	NM_005066	2
P23246	XM_005271112	4
P23246	XM_005271113	4
P23246	XM_005271115	4
P23246	XM_017002053	1
P23246	XM_017002054	1
P23258	NM_001070	4
P23284	NM_000942	4
P23297	NM_006271	1
P23368	NM_001168335	1
P23368	NM_002396	4
P23396	NM_001005	4
P23396	NM_001256802	1
P23396	NM_001260506	1
P23396	NM_001260507	1
P23443	NM_001272042	1
P23443	NM_001272043	1
P23443	NM_001272044	1
P23443	NM_001272060	1
P23443	NM_003161	3
P23458	NM_001320923	1
P23458	NM_001321852	1
P23458	NM_001321853	1
P23458	NM_001321854	1
P23458	NM_001321855	1
P23458	NM_001321856	1
P23458	NM_002227	3
P23468	NM_001171025	1
P23468	NM_002839	3
P23468	NM_130391	3
P23468	NM_130392	3
P23468	XM_006716832	3
P23468	XM_006716833	3
P23468	XM_006716835	3
P23468	XM_011517992	2
P23468	XM_017014991	1
P23469	NM_001316676	1
P23469	NM_001316677	1
P23469	NM_001323354	1
P23469	NM_006504	5
P23469	NM_130435	4
P23469	XM_005252691	2
P23469	XM_017016468	1
P23471	NM_001206838	1
P23471	NM_001206839	1
P23471	NM_002851	2
P23471	XM_005250519	1
P23497	NM_001080391	1
P23497	NM_001206701	1
P23497	NM_001206702	1
P23497	NM_001206703	1
P23497	NM_001206704	1
P23497	NM_003113	3
P23511	NM_002505	4
P23511	NM_021705	3
P23515	NM_002544	4
P23526	NM_000687	3
P23526	NM_001161766	1
P23526	NM_001322084	1
P23526	NM_001322085	1
P23526	XM_005260317	2
P23526	XM_011528659	1
P23526	XM_017027708	1
P23526	XM_017027709	1
P23527	NM_003527	4
P23528	NM_005507	2
P23588	NM_001330654	1
P23588	NM_001417	6
P23634	NM_001001396	2
P23634	NM_001684	4
P23677	NM_002220	2
P23743	NM_001345	4
P23743	NM_201444	2
P23743	NM_201445	1
P23743	NM_201554	1
P23743	XM_011537991	2
P23743	XM_011537993	2
P23771	NM_001002295	1
P23771	NM_002051	2
P23771	XM_005252442	2
P23771	XM_005252443	4
P23919	NM_001165031	1
P23919	NM_001320903	1
P23919	NM_012145	3
P23921	NM_001033	4
P23921	NM_001318064	1
P23921	NM_001318065	1
P24534	NM_001037663	1
P24534	NM_001959	3
P24534	NM_021121	3
P24539	NM_001688	4
P24666	NM_004300	3
P24666	NM_007099	3
P24821	NM_002160	3
P24821	XM_005251972	3
P24821	XM_005251974	3
P24821	XM_005251975	3
P24821	XM_011518629	2
P24928	NM_000937	4
P24941	NM_001290230	1
P24941	NM_001798	4
P24941	NM_052827	3
P25054	NM_000038	5
P25054	NM_001127510	2
P25054	NM_001127511	2
P25098	NM_001619	3
P25205	NM_001270472	1
P25205	NM_002388	4
P25311	NM_001185	3
P25398	NM_001016	3
P25490	NM_003403	4
P25685	NM_001300914	1
P25685	NM_001313964	1
P25685	NM_006145	2
P25685	XM_006722733	1
P25685	XM_006722734	3
P25685	XM_011527956	2
P25686	NM_001039550	1
P25686	NM_006736	5
P25705	NM_001001935	2
P25705	NM_001001937	1
P25705	NM_001257334	1
P25705	NM_001257335	1
P25705	NM_004046	5
P25788	NM_002788	3
P25788	NM_152132	2
P25789	NM_001102667	2
P25789	NM_001102668	2
P25789	NM_001330676	1
P25789	NM_002789	5
P26038	NM_002444	2
P26196	NM_001257191	2
P26196	NM_004397	5
P26196	XM_005271417	3
P26232	NM_001164883	1
P26232	NM_001282597	2
P26232	NM_001282598	1
P26232	NM_001282599	1
P26232	NM_001282600	1
P26232	NM_001320810	1
P26232	NM_004389	3
P26232	XM_011532555	2
P26232	XM_011532556	2
P26232	XM_017003403	1
P26358	NM_001130823	2
P26358	NM_001318730	1
P26358	NM_001318731	1
P26358	NM_001379	3
P26368	NM_001012478	1
P26368	NM_007279	2
P26373	NM_000977	3
P26373	NM_001243130	1
P26373	NM_001243131	1
P26373	NM_033251	2
P26374	NM_001821	3
P26378	NM_001144774	2
P26378	NM_001144775	2
P26378	NM_001144776	2
P26378	NM_001144777	2
P26378	NM_001294348	1
P26378	NM_001324213	1
P26378	NM_021952	4
P26447	NM_002961	2
P26447	NM_019554	2
